state_fips,state,state_abbr,county,hardiness_zone
08,Colorado,CO,Fremont,6a
28,Mississippi,MS,Pearl River,9a
28,Mississippi,MS,Perry,8b
31,Nebraska,NE,Custer,5b
12,Florida,FL,Calhoun,9a
21,Kentucky,KY,Kenton,6b
19,Iowa,IA,Chickasaw,5a
17,Illinois,IL,DeKalb,5b
19,Iowa,IA,Hancock,5a
38,North Dakota,ND,Stark,4b
26,Michigan,MI,Luce,5a
40,Oklahoma,OK,Carter,8a
37,North Carolina,NC,Pasquotank,8a
35,New Mexico,NM,Taos,6a
28,Mississippi,MS,Bolivar,8b
32,Nevada,NV,Nye,7a
47,Tennessee,TN,Hawkins,7b
38,North Dakota,ND,Bowman,4b
42,Pennsylvania,PA,Fulton,6b
22,Louisiana,LA,Lafayette,9a
48,Texas,TX,Jack,8a
17,Illinois,IL,Stark,5b
40,Oklahoma,OK,Greer,7b
48,Texas,TX,Hemphill,7a
16,Idaho,ID,Nez Perce,7b
46,South Dakota,SD,Walworth,4b
06,California,CA,Napa,9b
40,Oklahoma,OK,Cotton,8a
29,Missouri,MO,Washington,6b
36,New York,NY,Cayuga,6a
48,Texas,TX,Shackelford,8a
48,Texas,TX,San Jacinto,9a
19,Iowa,IA,Dubuque,5a
51,Virginia,VA,Goochland,7a
20,Kansas,KS,Sherman,6a
39,Ohio,OH,Richland,6a
17,Illinois,IL,Adams,6a
39,Ohio,OH,Champaign,6a
33,New Hampshire,NH,Sullivan,6a
17,Illinois,IL,Iroquois,5b
19,Iowa,IA,Poweshiek,5a
39,Ohio,OH,Wayne,6a
13,Georgia,GA,Fayette,8a
13,Georgia,GA,Hancock,8b
48,Texas,TX,Kendall,8b
36,New York,NY,Greene,5b
51,Virginia,VA,Orange,7a
40,Oklahoma,OK,McCurtain,8a
13,Georgia,GA,Tift,9a
31,Nebraska,NE,Cass,6a
46,South Dakota,SD,Kingsbury,4b
56,Wyoming,WY,Converse,4b
36,New York,NY,Herkimer,4a
38,North Dakota,ND,Logan,4b
26,Michigan,MI,Gogebic,4b
27,Minnesota,MN,Becker,3b
01,Alabama,AL,Marshall,8a
47,Tennessee,TN,Union,7b
54,West Virginia,WV,Mineral,7a
55,Wisconsin,WI,Ashland,4a
17,Illinois,IL,Ford,6a
38,North Dakota,ND,Emmons,4a
06,California,CA,Shasta,9a
22,Louisiana,LA,Vermilion,9b
05,Arkansas,AR,Randolph,7b
55,Wisconsin,WI,Oneida,4a
22,Louisiana,LA,East Carroll,8b
22,Louisiana,LA,East Feliciana,9a
22,Louisiana,LA,St. Bernard,9b
48,Texas,TX,Wharton,9a
02,Alaska,AK,Prince of Wales-Hyder,
02,Alaska,AK,Petersburg,
48,Texas,TX,Floyd,7b
02,Alaska,AK,Wrangell,
21,Kentucky,KY,Madison,7a
47,Tennessee,TN,Blount,7b
30,Montana,MT,Gallatin,5a
45,South Carolina,SC,Darlington,8b
01,Alabama,AL,Escambia,8b
13,Georgia,GA,Haralson,8a
20,Kansas,KS,Allen,6b
17,Illinois,IL,Douglas,6a
51,Virginia,VA,Greene,7b
66,,,Guam,
